model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,no_wsi_wind,1035,2024-12-01 21:00:00,27926.75,26474.367545388064,-1452.3824546119358,1452.3824546119358,2109414.794464592,5.200685559943122,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1036,2024-12-01 22:00:00,28251.25,25877.738060635056,-2373.511939364944,2373.511939364944,5633558.926307937,8.401440429588439,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1037,2024-12-01 23:00:00,27627.0,24903.748127226343,-2723.251872773657,2723.251872773657,7416100.76256523,9.857211687018754,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1038,2024-12-02 00:00:00,26748.5,27428.5251878705,680.0251878704985,680.0251878704985,462434.2561383068,2.542292793503353,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1039,2024-12-02 01:00:00,25911.0,28293.495383854948,2382.495383854948,2382.495383854948,5676284.254090137,9.19491869805885,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1040,2024-12-02 02:00:00,25821.5,27803.296805099497,1981.7968050994969,1981.7968050994969,3927518.576702573,7.674987142879884,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1041,2024-12-02 03:00:00,25566.5,27063.422845594832,1496.9228455948323,1496.9228455948323,2240778.00566373,5.855016703867353,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1042,2024-12-02 04:00:00,26098.75,27321.52985059811,1222.7798505981118,1222.7798505981118,1495190.5630287407,4.685204657685304,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1043,2024-12-02 05:00:00,26033.5,27313.549904498188,1280.049904498188,1280.049904498188,1638527.7580058202,4.916933583642984,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1044,2024-12-02 06:00:00,26286.75,23498.2520063062,-2788.4979936938034,2788.4979936938034,7775721.060834367,10.607998302158856,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1045,2024-12-02 07:00:00,25582.5,20024.59443058094,-5557.905569419061,5557.905569419061,30890314.318579417,21.72541999185728,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1046,2024-12-02 08:00:00,24832.25,16907.43441450575,-7924.815585494249,7924.815585494249,62802702.06409256,31.91340126444868,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1047,2024-12-02 09:00:00,23896.5,19325.17877235773,-4571.321227642271,4571.321227642271,20896977.76629284,19.1296684771425,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1048,2024-12-02 10:00:00,22770.5,18203.29042267806,-4567.209577321941,4567.209577321941,20859403.32318126,20.05757263705204,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1049,2024-12-02 11:00:00,21409.75,18435.00796923142,-2974.742030768579,2974.742030768579,8849090.149621168,13.894333333024388,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1050,2024-12-02 12:00:00,20282.0,18730.08746165205,-1551.9125383479477,1551.9125383479477,2408432.5266815703,7.651674087107693,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1051,2024-12-02 13:00:00,19676.25,18994.30836708429,-681.9416329157139,681.9416329157139,465044.3907037503,3.465810979812552,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1052,2024-12-02 14:00:00,20008.5,16036.609550917254,-3971.890449082746,3971.890449082746,15775913.73951474,19.8510155637892,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1053,2024-12-02 15:00:00,20001.5,17309.647464744852,-2691.852535255148,2691.852535255148,7246070.071559567,13.458253307270963,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1054,2024-12-02 16:00:00,20352.0,18353.715409070377,-1998.284590929623,1998.284590929623,3993141.3063467694,9.818615324924531,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1055,2024-12-02 17:00:00,19847.25,19181.31397892644,-665.9360210735613,665.9360210735613,443470.7841632867,3.355306256903227,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1056,2024-12-02 18:00:00,19490.75,20278.658970887944,787.9089708879437,787.9089708879437,620800.5464056985,4.042476410028036,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1057,2024-12-02 19:00:00,19280.0,20009.323179968484,729.3231799684836,729.3231799684836,531912.3008393411,3.782796576598056,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1058,2024-12-02 20:00:00,18781.25,18749.23477316496,-32.01522683503936,32.01522683503936,1024.974749299024,0.1704637701698359,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1059,2024-12-02 21:00:00,19264.5,18669.03271011857,-595.4672898814315,595.4672898814315,354581.2933187368,3.0910082788607145,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1060,2024-12-02 22:00:00,19733.75,17666.711248768268,-2067.038751231732,2067.038751231732,4272649.199093638,10.474637366089487,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1061,2024-12-02 23:00:00,21422.75,19294.284053512125,-2128.465946487875,2128.465946487875,4530367.285358526,9.935540238703627,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1062,2024-12-03 00:00:00,21788.75,18890.808292987,-2897.941707013004,2897.941707013004,8398066.137245443,13.30017420463163,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1063,2024-12-03 01:00:00,21158.25,21130.24771234469,-28.002287655308464,28.002287655308464,784.1281139306408,0.132346898516159,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
