model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_solar,1565,2024-12-23 23:00:00,6.0,3.489169462481964,-2.5108305375180366,2.5108305375180366,6.304269988133113,41.84717555555532,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1566,2024-12-24 00:00:00,6.0,3.596600018037518,-2.403399981962482,2.403399981962482,5.776331473297258,40.05666629928025,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1567,2024-12-24 01:00:00,6.0,3.453897637085137,-2.546102362914863,2.546102362914863,6.482637242440648,42.435039311189314,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1568,2024-12-24 02:00:00,6.75,3.650656881313129,-3.099343118686871,3.099343118686871,9.60592776735166,45.91619428289262,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1569,2024-12-24 03:00:00,6.5,3.563386679292928,-2.936613320707072,2.936613320707072,8.623697795354216,45.17866640291085,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1570,2024-12-24 04:00:00,7.25,22.274429067460304,15.024429067460304,15.024429067460304,225.73346880314608,207.23350409292348,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1571,2024-12-24 05:00:00,7.25,96.83083730158732,89.58083730158731,89.58083730158731,8024.726411653456,1235.59775417969,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1572,2024-12-24 06:00:00,310.25,1338.218387626262,1027.968387626262,1027.968387626262,1056719.0059589369,331.33549962711635,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1573,2024-12-24 07:00:00,2467.75,4345.069555690838,1877.3195556908377,1877.3195556908377,3524328.714179244,76.07413861546875,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1574,2024-12-24 08:00:00,5235.25,4884.603363591268,-350.64663640873187,350.64663640873187,122953.0636247574,6.697801182523511,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1575,2024-12-24 09:00:00,7088.75,5064.150671626983,-2024.5993283730168,2024.5993283730168,4099002.4404484704,28.560738188963647,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
