model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_wind,416,2024-11-06 02:00:00,6774.0,1888.0614,-4885.9385986328125,4885.9385986328125,23872395.98960997,72.12782106031295,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,417,2024-11-06 03:00:00,7658.0,1887.2458,-5770.754150390625,5770.754150390625,33301603.464250624,75.35589122986536,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,418,2024-11-06 04:00:00,8471.75,1843.9706,-6627.7794189453125,6627.7794189453125,43927460.02619506,78.23388814515877,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,419,2024-11-06 05:00:00,9644.75,1854.7622,-7789.98779296875,7789.98779296875,60683909.81460214,80.76920389808623,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,420,2024-11-06 06:00:00,11067.0,1850.7454,-9216.254638671877,9216.254638671877,84939349.56484085,83.27690104512105,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,421,2024-11-06 07:00:00,12474.5,1896.7976,-10577.702392578123,10577.702392578123,111887787.905953,84.79460012481177,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,422,2024-11-06 08:00:00,13378.25,1872.3373,-11505.912719726562,11505.912719726562,132386027.5139655,86.00461734320977,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,423,2024-11-06 09:00:00,13549.75,1898.1157,-11651.63427734375,11651.63427734375,135760581.3329718,85.99150742511965,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,424,2024-11-06 10:00:00,13254.5,1867.6171,-11386.882934570312,11386.882934570312,129661102.9656086,85.90956229628972,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,425,2024-11-06 11:00:00,13050.0,1887.3285,-11162.671508789062,11162.671508789062,124605235.21313109,85.53771271096174,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,426,2024-11-06 12:00:00,12951.25,1900.8987,-11050.351318359377,11050.351318359377,122110264.25916678,85.32266243297629,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,427,2024-11-06 13:00:00,13174.5,1896.0883,-11278.411743164062,11278.411743164062,127202571.44834104,85.60789208816654,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,428,2024-11-06 14:00:00,14444.5,1884.5807,-12559.919311523438,12559.919311523438,157751573.11197937,86.95295310682087,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,429,2024-11-06 15:00:00,15595.0,1883.9375,-13711.0625,13711.0625,187993234.87890625,87.91960564277787,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,430,2024-11-06 16:00:00,15681.5,1898.8286,-13782.67138671875,13782.67138671875,189962030.55427572,87.89128199923452,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,431,2024-11-06 17:00:00,15947.5,1884.5585,-14062.941528320312,14062.941528320312,197766324.42895603,88.18273414837118,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,432,2024-11-06 18:00:00,14792.5,1886.0151,-12906.48486328125,12906.48486328125,166577351.52610803,87.2501934309449,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,433,2024-11-06 19:00:00,13225.25,1883.9414,-11341.30859375,11341.30859375,128625280.6186676,85.75496564330673,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,434,2024-11-06 20:00:00,11802.0,1877.1659,-9924.834106445312,9924.834106445312,98502332.04046012,84.09451030704035,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
