model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_wind,64,2024-10-22 10:00:00,6557.0,1800.9777,-4756.022338867188,4756.022338867188,22619748.487803712,72.53351134451631,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,65,2024-10-22 11:00:00,7127.25,1800.9777,-5326.272338867188,5326.272338867188,28369177.02778174,74.73110019796856,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,66,2024-10-22 12:00:00,8362.25,1800.9777,-6561.272338867188,6561.272338867188,43050294.70478369,78.46300145127616,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,67,2024-10-22 13:00:00,9477.75,1800.9777,-7676.7723388671875,7676.7723388671875,58932833.54279639,80.99783533917953,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,68,2024-10-22 14:00:00,10705.0,1800.9777,-8904.022338867188,8904.022338867188,79281613.8110459,83.1762946180184,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,69,2024-10-22 15:00:00,15038.5,1800.9777,-13237.522338867188,13237.522338867188,175231997.6720078,88.02422009414758,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,70,2024-10-22 16:00:00,18019.25,1800.9777,-16218.272338867188,16218.272338867188,263032357.6576645,90.00525737119018,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,71,2024-10-22 17:00:00,20261.75,1800.9777,-18460.772338867188,18460.772338867188,340800115.3474839,91.1114407139466,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,72,2024-10-22 18:00:00,19788.5,1800.9777,-17987.522338867188,17987.522338867188,323550959.8912461,90.89886721509006,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,73,2024-10-22 19:00:00,17802.25,1800.9777,-16001.272338867188,16001.272338867188,256040716.46259615,89.88342675143983,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,74,2024-10-22 20:00:00,16377.5,1800.9777,-14576.522338867188,14576.522338867188,212475003.49549413,89.00334201714722,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,75,2024-10-22 21:00:00,14651.75,1800.9777,-12850.772338867188,12850.772338867188,165142349.70539403,87.7081054403632,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
