file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Mecklenburg-Vorpommern.csv,extreme_wind,147352,0,2748,2748,0,2748
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Niedersachsen.csv,extreme_wind,144269,0,2664,2664,0,2664
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Nordrhein-Westfalen.csv,extreme_wind,139365,0,2522,2522,0,2522
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Rheinland-Pfalz.csv,extreme_wind,61069,0,1711,1711,0,1711
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Saarland.csv,extreme_wind,26171,0,610,610,0,610
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen-Anhalt.csv,extreme_wind,113454,0,3880,3880,0,3880
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Sachsen.csv,extreme_wind,140125,0,3382,3382,0,3382
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Schleswig-Holstein.csv,extreme_wind,139856,0,2366,2366,0,2366
Data\Bundesland_aggregation\extreme_wind_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\extreme_wind_by_bundesland\Thueringen.csv,extreme_wind,87563,0,1466,1466,0,1466
Data\Germany_aggregation\extreme_wind_germany_aggregated\Germany_total.csv,Preprocessed_Data\Germany_aggregation\extreme_wind_germany_aggregated\Germany_total.csv,extreme_wind,1817999,0,41417,41419,0,41419
Data\Bundesland_aggregation\moisture_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Baden-Wuerttemberg.csv,moisture,527758,0,5373,5373,0,5373
Data\Bundesland_aggregation\moisture_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Bayern.csv,moisture,889460,0,8731,8731,0,8731
Data\Bundesland_aggregation\moisture_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Berlin.csv,moisture,25582,0,46,46,0,46
Data\Bundesland_aggregation\moisture_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Brandenburg.csv,moisture,213306,0,659,659,0,659
Data\Bundesland_aggregation\moisture_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Bremen.csv,moisture,16924,0,275,275,0,275
Data\Bundesland_aggregation\moisture_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Hamburg.csv,moisture,31312,0,699,699,0,699
Data\Bundesland_aggregation\moisture_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Hessen.csv,moisture,297070,0,1739,1739,0,1739
Data\Bundesland_aggregation\moisture_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\moisture_by_bundesland\Mecklenburg-Vorpommern.csv,moisture,220895,0,3899,3899,0,3899
