datetime,actual,arimax_prediction,arimax_error,arimax_squared_error,sarimax_prediction,sarimax_error,sarimax_squared_error
2024-11-08 15:00:00,103.5,26566.875097107608,-26463.375097107608,700310221.5302151,973.758389720695,-870.258389720695,757349.6648792571
2024-11-08 16:00:00,27.75,23456.0465232064,-23428.2965232064,548885077.9792851,-916.7881310991249,944.5381310991249,892152.2811002277
2024-11-08 17:00:00,27.75,21203.24578591576,-21175.49578591576,448401621.77933604,-134.8796466175893,162.6296466175893,26448.40195896197
2024-11-08 18:00:00,26.25,18987.819967647083,-18961.569967647083,359541135.6379758,363.54825486015307,-337.29825486015307,113770.11273170476
2024-11-08 19:00:00,19.0,17097.749505034648,-17078.749505034648,291683684.65572125,598.252398593347,-579.252398593347,335533.3412761458
2024-11-08 20:00:00,10.5,16061.206843152177,-16050.706843152177,257625190.16481212,897.9147069739189,-887.4147069739189,787504.8621536064
2024-11-08 21:00:00,11.75,15485.510920210276,-15473.760920210276,239437277.01582676,1012.336829494715,-1000.586829494715,1001174.0033582858
2024-11-08 22:00:00,12.25,15371.502009069081,-15359.252009069081,235906622.27809262,1074.8365585384038,-1062.5865585384038,1129090.1943864885
2024-11-08 23:00:00,11.0,16007.533936452586,-15996.533936452586,255889097.98007926,1284.76591339181,-1273.76591339181,1622479.602118872
2024-11-09 00:00:00,10.25,16765.238795196638,-16754.988795196638,280729649.5271649,1251.7569887544519,-1241.5069887544519,1541339.6031261466
2024-11-09 01:00:00,10.0,17956.134944110643,-17946.134944110643,322063759.4322291,1291.5815444487528,-1281.5815444487528,1642451.2550716505
2024-11-09 02:00:00,11.25,19629.497140391264,-19618.247140391264,384875620.86147,1233.2518733905981,-1222.0018733905981,1493288.5785701314
2024-11-09 03:00:00,13.0,21382.16313200211,-21369.16313200211,456641132.96211827,1228.7238990073615,-1215.7238990073615,1477984.5986176613
2024-11-09 04:00:00,12.5,22949.737169122323,-22937.237169122323,526116848.9525667,1076.603612372755,-1064.103612372755,1132316.4978647463
2024-11-09 05:00:00,13.75,24962.487444724422,-24948.737444724422,622439500.0857944,1285.7264607520433,-1271.9764607520433,1617924.1167072942
2024-11-09 06:00:00,151.25,26042.671239669435,-25891.421239669435,670365693.8100055,3906.43407134831,-3755.18407134831,14101407.409708072
2024-11-09 07:00:00,1559.25,29243.447407892905,-27684.197407892905,766414786.1191843,9544.755028359561,-7985.505028359561,63768290.55795583
2024-11-09 08:00:00,3956.25,30807.86165300198,-26851.61165300198,721009048.3636317,14909.454087048269,-10953.204087048269,119972679.7725309
2024-11-09 09:00:00,6468.25,31851.52355478704,-25383.27355478704,644310576.357151,18838.70974002716,-12370.45974002716,153028274.1796328
2024-11-09 10:00:00,8603.75,32376.234482141677,-23772.484482141677,565131018.4536668,20265.879073872038,-11662.129073872038,136005254.53565148
2024-11-09 11:00:00,9632.0,31857.182349658106,-22225.182349658106,493958730.47555417,19445.730003810168,-9813.730003810168,96309296.58768392
2024-11-09 12:00:00,9027.25,30479.362681017723,-21452.112681017723,460193138.4790814,16744.048937056938,-7716.798937056938,59548985.83496308
2024-11-09 13:00:00,6396.25,28315.00966169918,-21918.75966169918,480432025.10733116,12552.756290250403,-6156.506290250403,37902569.701892786
2024-11-09 14:00:00,2560.5,25629.98930353485,-23069.48930353485,532201336.7259089,7444.185413559046,-4883.685413559046,23850383.218609385
2024-11-09 15:00:00,243.5,22042.765231917612,-21799.265231917612,475207964.651492,2184.096264918149,-1940.5962649181488,3765913.86341427
2024-11-09 16:00:00,27.0,18157.238966674544,-18130.238966674544,328705564.98872405,-92.69511713030352,119.69511713030352,14326.921064837077
2024-11-09 17:00:00,25.0,15104.402619995642,-15079.402619995642,227388383.37593144,82.65689458971656,-57.65689458971656,3324.3174937296862
2024-11-09 18:00:00,16.0,13149.53180946596,-13133.53180946596,172489657.7902542,378.1958917668983,-362.1958917668983,131185.8640128187
2024-11-09 19:00:00,9.0,11327.622740069404,-11318.622740069404,128111220.73201624,474.38256588449076,-465.38256588449076,216580.93262923238
2024-11-09 20:00:00,6.5,10200.65381570952,-10194.15381570952,103920772.01834497,592.7345209699838,-586.2345209699838,343670.9135769064
2024-11-09 21:00:00,5.75,9978.819715830963,-9973.069715830963,99462119.55682468,571.7659151766845,-566.0159151766845,320374.01623329974
2024-11-09 22:00:00,6.0,9978.640795444604,-9972.640795444604,99453564.43496598,549.0870276849581,-543.0870276849581,294943.5196396825
2024-11-09 23:00:00,6.75,10497.769188355654,-10491.019188355654,110061483.61044654,434.50772580002376,-427.75772580002376,182976.67198160832
2024-11-10 00:00:00,5.75,11551.550320733339,-11545.800320733339,133305505.04624607,590.5812107758774,-584.8312107758774,342027.5450975787
2024-11-10 01:00:00,6.0,13343.654572051484,-13337.654572051484,177893029.48336586,594.2820262511475,-588.2820262511475,346075.74241015577
2024-11-10 02:00:00,6.0,15390.495466319844,-15384.495466319844,236682700.75321585,621.7709279791325,-615.7709279791325,379173.83574428194
2024-11-10 03:00:00,6.0,17273.385555136018,-17267.385555136018,298162603.90972,542.5092862124807,-536.5092862124807,287842.2141922255
2024-11-10 04:00:00,6.25,19750.725905599073,-19744.475905599073,389844328.7867823,494.2389042311898,-487.9889042311898,238133.1706527573
2024-11-10 05:00:00,6.75,21965.37254968006,-21958.62254968006,482181104.2793177,714.4816253323456,-707.7316253323456,500884.0534955636
2024-11-10 06:00:00,104.5,23220.992257574573,-23116.492257574573,534372214.2945052,3349.4229968727946,-3244.9229968727946,10529525.255633919
2024-11-10 07:00:00,1312.0,25970.931047801394,-24658.931047801394,608062880.4202236,8587.784780015125,-7275.784780015125,52937044.16509974
2024-11-10 08:00:00,3341.5,27596.694120812695,-24255.194120812695,588314441.8383068,13925.093757867702,-10583.593757867702,112012456.83157618
2024-11-10 09:00:00,5084.75,28928.8832653109,-23844.1332653109,568542691.1739057,17770.52219533322,-12685.772195333218,160928816.19188938
2024-11-10 10:00:00,6191.25,29292.57869604975,-23101.32869604975,533671387.52293164,19080.257305498733,-12889.007305498733,166126509.32119972
2024-11-10 11:00:00,6334.0,28587.6495515462,-22253.6495515462,495224918.36303246,17989.717280454275,-11655.717280454275,135855745.3218804
2024-11-10 12:00:00,5537.75,27392.937243501656,-21855.187243501656,477649209.4485175,15092.390012221635,-9554.640012221635,91291145.76314664
2024-11-10 13:00:00,3691.75,25056.33401502855,-21364.58401502855,456445450.1352135,10621.564717514302,-6929.814717514302,48022332.01907783
2024-11-10 14:00:00,1466.5,22487.824338882696,-21021.324338882696,441896076.960502,5382.52885250851,-3916.0288525085098,15335281.973679116
2024-11-10 15:00:00,133.5,19598.692183650564,-19465.192183650564,378893706.746451,287.38076258413486,-153.88076258413486,23679.28909347488
2024-11-10 16:00:00,18.0,16739.800219148863,-16721.800219148863,279618602.56912696,-1744.0679447532866,1762.0679447532866,3104883.4419270717
2024-11-10 17:00:00,17.5,14715.216232728679,-14697.716232728679,216022862.4578161,-1175.126593746596,1192.626593746596,1422358.192111608
2024-11-10 18:00:00,9.75,13053.745464104693,-13043.995464104693,170145817.66758382,-731.389803863735,741.139803863735,549288.2088711755
2024-11-10 19:00:00,12.25,11783.310590946581,-11771.060590946581,138557867.43573567,-600.8641552646135,613.1141552646135,375908.9673858406
