datetime,actual,arima_prediction,arima_error,sarima_prediction,sarima_error,arima_squared_error,sarima_squared_error
2024-11-10 17:00:00,17.5,5548.801650304061,-5531.301650304061,417.9892899089909,-400.4892899089909,30595297.946656425,160391.67133180774
2024-11-10 18:00:00,9.75,5550.924984907837,-5541.174984907837,409.9403082069364,-400.1903082069364,30704620.213368367,160152.28278276272
2024-11-10 19:00:00,12.25,5548.806392336474,-5536.556392336474,418.3980148452796,-406.1480148452796,30653456.685521875,164956.20996276144
2024-11-10 20:00:00,10.5,5550.9202534684055,-5540.4202534684055,431.6212802323506,-421.1212802323506,30696256.58504291,177343.13266453397
2024-11-10 21:00:00,10.0,5548.811113212682,-5538.811113212682,445.4311931960391,-435.4311931960391,30678428.547848314,189600.3240081263
2024-11-10 22:00:00,11.25,5550.915543139236,-5539.665543139236,451.890673156847,-440.640673156847,30687894.329844132,194164.20284011928
2024-11-10 23:00:00,10.5,5548.815813026303,-5538.315813026303,451.8129153440751,-441.3129153440751,30672942.044817198,194757.0892494868
2024-11-11 00:00:00,11.0,5550.910853825403,-5539.910853825403,447.0085048813797,-436.0085048813797,30690612.268332507,190103.4163288961
2024-11-11 01:00:00,10.25,5548.820491870659,-5538.570491870659,441.343100096712,-431.093100096712,30675763.09342039,185841.26095099378
2024-11-11 02:00:00,9.5,5550.906185432633,-5541.406185432633,435.4557289067463,-425.9557289067463,30707182.511951044,181438.28298847753
2024-11-11 03:00:00,11.0,5548.825149838966,-5537.825149838966,429.78971787165415,-418.78971787165415,30667507.39018897,175384.82779501966
2024-11-11 04:00:00,9.5,5550.901537867426,-5541.401537867426,430.3928347816297,-420.8928347816297,30707131.003879473,177150.77837051623
2024-11-11 05:00:00,10.5,5548.829787024384,-5538.329787024384,563.4274281635591,-552.9274281635591,30673096.82984156,305728.7408155678
2024-11-11 06:00:00,64.25,5550.896911037033,-5486.646911037033,3224.487067616264,-3160.237067616264,30103294.32639221,9987098.323535843
2024-11-11 07:00:00,906.75,5548.834403519939,-4642.084403519939,8910.393874065396,-8003.643874065396,21548947.609403066,64058315.26286454
2024-11-11 08:00:00,2474.25,5550.8923048493325,-3076.6423048493325,15012.598471615776,-12538.348471615776,9465727.871988613,157210182.39566967
2024-11-11 09:00:00,3973.5,5548.838999418374,-1575.3389994183744,19329.78019042895,-15356.280190428952,2481692.963088485,235815341.28696063
2024-11-11 10:00:00,5221.5,5550.887719212663,-329.3877192126629,21170.34457960957,-15948.844579609566,108496.26956812004,254365643.4245414
2024-11-11 11:00:00,5462.75,5548.843574811989,-86.09357481198913,20394.21054237692,-14931.460542376915,7412.103623907569,222948513.92855874
2024-11-11 12:00:00,4747.5,5550.883154035669,-803.3831540356687,17552.995910242335,-12805.495910242336,645424.492188299,163980725.5072332
2024-11-11 13:00:00,3299.25,5548.848129792513,-2249.5981297925127,13268.8140581416,-9969.5640581416,5060691.745565971,99392207.50938879
2024-11-11 14:00:00,1317.5,5550.878609227209,-4233.378609227209,8026.748066219943,-6709.248066219943,17921494.4490625,45014009.61407605
2024-11-11 15:00:00,161.5,5548.852664451059,-5387.352664451059,3027.140390613483,-2865.640390613483,29023568.731167927,8211894.8483153945
2024-11-11 16:00:00,24.75,5550.874084696352,-5526.124084696352,625.7978544978104,-601.0478544978104,30538047.399461094,361258.523396421
2024-11-11 17:00:00,25.25,5548.857178878158,-5523.607178878158,432.31834331068745,-407.06834331068745,30510236.266554326,165704.6361257077
2024-11-11 18:00:00,16.75,5550.869580352426,-5534.119580352426,424.27065384513935,-407.52065384513935,30626479.529640112,166073.0833103699
2024-11-11 19:00:00,15.25,5548.861673163838,-5533.611673163838,432.7270683645655,-417.4770683645655,30620858.149375085,174287.10261027212
2024-11-11 20:00:00,15.75,5550.865096105114,-5535.115096105114,445.9516257529749,-430.2016257529749,30637499.12713073,185073.43880050268
2024-11-11 21:00:00,14.0,5548.866147397718,-5534.866147397718,459.7602468328931,-445.7602468328931,30634743.269609258,198702.19765652175
2024-11-11 22:00:00,8.5,5550.860631864542,-5542.360631864542,466.22101855991394,-457.72101855991394,30717761.37364192,209508.53083152507
2024-11-11 23:00:00,9.0,5548.870601669096,-5539.870601669096,466.1419690984758,-457.1419690984758,30690166.28323751,208978.7799112318
2024-11-12 00:00:00,7.5,5550.856187541333,-5543.356187541333,461.33885016691073,-453.83885016691073,30728797.821952786,205969.70192082366
2024-11-12 01:00:00,7.0,5548.875036066982,-5541.875036066982,455.67215396863793,-448.67215396863793,30712378.91538241,201306.70174685714
2024-11-12 02:00:00,7.5,5550.851763046632,-5543.351763046632,449.7860740747628,-442.2860740747628,30728748.768872205,195616.97132046655
2024-11-12 03:00:00,7.0,5548.879450680103,-5541.879450680103,444.1187718610839,-437.1187718610839,30712427.8458704,191072.82071334234
2024-11-12 04:00:00,7.25,5550.84735829207,-5543.59735829207,444.723179832153,-437.473179832153,30731471.670862813,191382.78307245526
2024-11-12 05:00:00,6.25,5548.883845596856,-5542.633845596856,577.7564822704712,-571.5064822704712,30720789.946355794,326619.65927716845
2024-11-12 06:00:00,65.75,5550.842973189714,-5485.092973189714,3238.8174125493147,-3173.0674125493147,30086244.924535178,10068356.804582402
2024-11-12 07:00:00,1080.0,5548.888220905262,-4468.888220905262,8924.72292828977,-7844.72292828977,19970961.930945795,61539677.82163522
2024-11-12 08:00:00,3051.25,5550.838607652016,-2499.5886076520155,15026.928816431377,-11975.678816431377,6247943.207503742,143416883.11432323
2024-11-12 09:00:00,4842.75,5548.892576692912,-706.1425766929124,19344.109244770763,-14501.359244770763,498637.33861850563,210289419.94589847
2024-11-12 10:00:00,5969.0,5550.834261591765,418.1657384082346,21184.674924307736,-15215.674924307736,174862.58477850407,231516763.40220723
2024-11-12 11:00:00,5996.0,5548.89691304695,447.1030869530496,20408.539596836148,-14412.539596836148,199901.17036294626,207721297.63036987
2024-11-12 12:00:00,5058.5,5550.829934922076,-492.32993492207606,17567.3262548231,-12508.8262548231,242388.76482037565,156470734.2733517
2024-11-12 13:00:00,3194.5,5548.901230054062,-2354.4012300540617,13283.143112718226,-10088.643112718226,5543205.152080079,101780719.85579689
2024-11-12 14:00:00,1218.5,5550.825627556389,-4332.325627556389,8041.078410683318,-6822.578410683318,18769045.34318186,46547576.169922106
2024-11-12 15:00:00,114.5,5548.905527800499,-5434.405527800499,3041.4694453074835,-2926.9694453074835,29532763.44058862,8567150.133763598
2024-11-12 16:00:00,30.0,5550.8213394085,-5520.8213394085,640.1281988438204,-610.1281988438204,30479468.26166826,372256.4190244045
2024-11-12 17:00:00,18.5,5548.909806372115,-5530.409806372115,446.6473981220423,-428.1473981220423,30585432.626416855,183310.1945186746
2024-11-12 18:00:00,9.0,5550.817070392589,-5541.817070392589,438.6009980738057,-429.6009980738057,30711736.441694696,184557.01754601003
2024-11-12 19:00:00,6.0,5548.91406585439,-5542.91406585439,447.0561232932533,-441.0561232932533,30723896.341446448,194530.50389447343
2024-11-12 20:00:00,7.25,5550.812820423242,-5543.562820423242,460.281969864319,-453.031969864319,30731088.743978884,205237.96571914526
2024-11-12 21:00:00,6.5,5548.918306332458,-5542.418306332458,474.08930187889246,-467.58930187889246,30718400.682369154,218639.75523159
2024-11-12 22:00:00,6.75,5550.808589415464,-5544.058589415464,480.55136255395735,-473.80136255395735,30736585.642871384,224487.73115798653
2024-11-12 23:00:00,7.5,5548.922527891109,-5541.422527891109,480.4710242617653,-472.9710242617653,30707363.63261909,223701.58979122338
2024-11-13 00:00:00,7.5,5550.804377284673,-5543.304377284673,475.6691940436746,-468.1691940436746,30728223.419223417,219182.39425150387
2024-11-13 01:00:00,7.0,5548.926730614785,-5541.926730614785,470.00120924919634,-463.00120924919634,30712951.887502678,214370.1197662181
2024-11-13 02:00:00,7.0,5550.800183946691,-5543.800183946691,464.1164178342684,-457.1164178342684,30733720.47952736,208955.41945363348
2024-11-13 03:00:00,6.75,5548.930914587568,-5542.180914587568,458.4478272588897,-451.6978272588897,30715769.29001869,204030.92715040172
2024-11-13 04:00:00,7.5,5550.796009317716,-5543.296009317716,459.0535234744218,-451.5535234744218,30728130.64691772,203900.5845621652
2024-11-13 05:00:00,9.0,5548.935079893157,-5539.935079893157,592.0855377855033,-583.0855377855033,30690880.689430803,339988.7443746096
2024-11-13 06:00:00,52.75,5550.791853314312,-5498.041853314312,3253.147756074368,-3200.397756074368,30228464.220795874,10242545.79708585
2024-11-13 07:00:00,839.25,5548.939226614865,-4709.689226614865,8939.051983922007,-8099.801983922007,22181172.611292128,65606792.17874688
